id,name,brand,source,state,suburb,postcode,fuel_type,price_cents,all_prices,has_outage,is_fallback,is_stale,no_price,updated_at,longitude,latitude
wa_chidlow_growers_mart_liquor_store_chidlow,Chidlow Growers Mart Liquor Store,Independent,wa_fuelwatch,WA,CHIDLOW,,U91,2470.0,"{'U91': 2470, 'DSL': 3100, 'E85': 2700}",False,True,False,False,2026-03-28T16:00:00.000Z,116.265987,-31.857699
wa_burk_cannington_beckenham,Burk Cannington,Burk,wa_fuelwatch,WA,BECKENHAM,,P95,2573.0,"{'U91': 2333, 'P95': 2573, 'DSL': 2993, 'E85': 2773}",False,False,False,False,2026-03-28T16:00:00.000Z,115.950013,-32.027183
wa_astron_quinns_rocks_quinns_rocks,Astron Quinns Rocks,Astron,wa_fuelwatch,WA,QUINNS ROCKS,,P95,2631.0,"{'U91': 2471, 'P95': 2631, 'DSL': 3163, 'LPG': 1351}",False,False,False,False,2026-03-28T16:00:00.000Z,115.708282,-31.672657
wa_burk_oakford_oakford,Burk Oakford,Burk,wa_fuelwatch,WA,OAKFORD,,P95,2593.0,"{'U91': 2373, 'P95': 2593, 'DSL': 2993, 'E85': 2733, 'E10': 3093}",False,False,False,False,2026-03-28T16:00:00.000Z,115.926114,-32.205041
wa_atlas_fuel_kwinana_kwinana_beach,Atlas Fuel Kwinana,Atlas,wa_fuelwatch,WA,KWINANA BEACH,,P95,2539.0,"{'U91': 2389, 'P95': 2539, 'DSL': 3019, 'E85': 2619, 'E10': 3049}",False,False,False,False,2026-03-28T16:00:00.000Z,115.780215,-32.235848
wa_atlas_fuel_golden_bay_golden_bay,Atlas Fuel Golden Bay,Atlas,wa_fuelwatch,WA,GOLDEN BAY,,P95,2569.0,"{'U91': 2425, 'P95': 2569, 'DSL': 3049, 'E85': 2659, 'E10': 3079}",False,False,False,False,2026-03-28T16:00:00.000Z,115.760489,-32.42028
wa_vibe_kwinana_opt_kwinana_beach,Vibe Kwinana OPT,Vibe,wa_fuelwatch,WA,KWINANA BEACH,,U91,2387.0,"{'U91': 2387, 'DSL': 3017}",False,True,False,False,2026-03-28T16:00:00.000Z,115.78259,-32.245503
wa_atlas_fuel_forrestdale_forrestdale,Atlas Fuel Forrestdale,Atlas,wa_fuelwatch,WA,FORRESTDALE,,P95,2539.0,"{'U91': 2389, 'P95': 2539, 'DSL': 3019, 'E85': 2619, 'E10': 3049}",False,False,False,False,2026-03-28T16:00:00.000Z,115.937714,-32.147176
wa_atlas_fuel_forrestfield_forrestfield,Atlas Fuel Forrestfield,Atlas,wa_fuelwatch,WA,FORRESTFIELD,,P95,2579.0,"{'U91': 2429, 'P95': 2579, 'DSL': 3039, 'E85': 2669}",False,False,False,False,2026-03-28T16:00:00.000Z,116.008437,-31.988049
wa_costco_perth_airport_perth_airport,Costco Perth Airport,Costco,wa_fuelwatch,WA,PERTH AIRPORT,,E10,3127.0,"{'U91': 2467, 'E85': 2647, 'E10': 3127}",False,True,False,False,2026-03-28T16:00:00.000Z,115.951869,-31.940377
wa_costco_casuarina_casuarina,Costco Casuarina,Costco,wa_fuelwatch,WA,CASUARINA,,E10,3127.0,"{'U91': 2467, 'E85': 2647, 'E10': 3127}",False,True,False,False,2026-03-28T16:00:00.000Z,115.853714,-32.233481
wa_atlas_fuel_ascot_ascot,Atlas Fuel Ascot,Atlas,wa_fuelwatch,WA,ASCOT,,P95,2499.0,"{'U91': 2389, 'P95': 2499, 'DSL': 3019, 'E85': 2579, 'E10': 3049}",False,False,False,False,2026-03-28T16:00:00.000Z,115.951987,-31.925213
wa_vibe_broadwater_broadwater,Vibe Broadwater,Vibe,wa_fuelwatch,WA,BROADWATER,,U91,2492.0,"{'U91': 2492, 'DSL': 3053, 'E85': 2752}",False,True,False,False,2026-03-28T16:00:00.000Z,115.298097,-33.659283
wa_vibe_port_kennedy_port_kennedy,Vibe Port Kennedy,Vibe,wa_fuelwatch,WA,PORT KENNEDY,,P95,2645.0,"{'U91': 2495, 'P95': 2645, 'DSL': 3057, 'E85': 2755}",False,False,False,False,2026-03-28T16:00:00.000Z,115.762171,-32.371578
wa_ugo_mundaring_mundaring,UGO Mundaring,UGO,wa_fuelwatch,WA,MUNDARING,,P95,2599.0,"{'U91': 2399, 'P95': 2599, 'E85': 2659}",False,False,False,False,2026-03-28T16:00:00.000Z,116.151983,-31.900609
wa_vibe_oakford_truckstop_oakford,Vibe Oakford Truckstop,Vibe,wa_fuelwatch,WA,OAKFORD,,P95,2522.0,"{'U91': 2372, 'P95': 2522, 'DSL': 3059, 'E85': 2632, 'E10': 3129}",False,False,False,False,2026-03-28T16:00:00.000Z,115.952279,-32.209305
wa_vibe_wanneroo_wanneroo,Vibe Wanneroo,Vibe,wa_fuelwatch,WA,WANNEROO,,E10,3153.0,"{'U91': 2493, 'DSL': 3093, 'E85': 2753, 'E10': 3153}",False,True,False,False,2026-03-28T16:00:00.000Z,115.803426,-31.751382
wa_atlas_fuel_jarrahdale_jarrahdale,Atlas Fuel Jarrahdale,Atlas,wa_fuelwatch,WA,JARRAHDALE,,U91,2449.0,"{'U91': 2449, 'DSL': 3039, 'E85': 2699}",False,True,False,False,2026-03-28T16:00:00.000Z,116.006734,-32.308753
wa_atlas_fuel_wanneroo_wanneroo,Atlas Fuel Wanneroo,Atlas,wa_fuelwatch,WA,WANNEROO,,P95,2579.0,"{'U91': 2439, 'P95': 2579, 'DSL': 3049, 'E85': 2649}",False,False,False,False,2026-03-28T16:00:00.000Z,115.803432,-31.752615
wa_burk_alkimos_alkimos,Burk Alkimos,Burk,wa_fuelwatch,WA,ALKIMOS,,P95,2633.0,"{'U91': 2493, 'P95': 2633, 'DSL': 3073, 'E85': 2793, 'E10': 3133}",False,False,False,False,2026-03-28T16:00:00.000Z,115.69118,-31.628239
wa_burk_camillo_camillo,Burk Camillo,Burk,wa_fuelwatch,WA,CAMILLO,,U91,2473.0,"{'U91': 2473, 'DSL': 3053, 'E85': 2793}",False,True,False,False,2026-03-28T16:00:00.000Z,116.002556,-32.118652
